resultsFileName : 2016-05-04_linux_v1.0.0_node-v4.2.4_v100to1k_1462375708099.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  1     1000     1000        1    0.364   0.391   0.417   2.953   0.123   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
  7     1000     1000        1    0.134   0.156   0.169   0.922   0.034   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
  9      100      100      100    0.786   0.892   0.937   0.947   0.055   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
 33      100      100       10    0.352   0.452   3.218   4.735   0.439   0.000   0.000  54.000   0.540   filter_k10to100_m50_v100to100                                              
  3     1000     1000       11    3.655   4.814   5.467   9.662   0.620   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 38     1000      100        1    0.500   0.791   0.977   3.890   0.224   0.005   0.008  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 27     1000     1000        1    5.758   8.684   9.983  18.926   1.666   0.006   0.009 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 20     1000     1000        1    1.360   1.482   2.426   7.234   0.289   0.001   0.001 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
  6     1000     1000        1    3.101   3.253   4.556   7.817   0.320   0.003   0.003 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 10      100      100        1    0.321   0.418   0.921   1.196   0.098   0.003   0.004  56.000   0.560   filter_k1to100_m50_v100to100                                               
  8     1000     1000        1    3.557   4.705   5.383  90.567   2.829   0.004   0.005  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 17      100      100        1    0.196   0.234   0.676   0.924   0.074   0.002   0.002  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 15     1000     1000        1    1.868   2.583   2.852   3.746   0.229   0.002   0.003  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 37      100      100        1    0.167   0.202   2.065   3.141   0.296   0.002   0.002  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 16     1000     1000        1    1.252   1.373   2.256   2.696   0.195   0.001   0.001  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  0      100        1        1    0.062   0.144   1.012   1.398   0.138   0.062   0.144  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 25     1000        1        1    0.057   0.073   0.109   9.317   0.294   0.057   0.073  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 23      100        1        1    0.048   0.078   0.177   0.202   0.019   0.048   0.078  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
  2     1000        1        1    0.010   0.012   0.028   1.666   0.064   0.010   0.012  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
