resultsFileName : 2016-05-04_win32_v1.0.0_node-v4.4.3_v100to1k_1462376212649.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 34     1000     1000        1    0.038   0.082   0.145   0.436   0.025   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
  6     1000     1000        1    1.218   2.154   2.815   4.165   0.464   0.001   0.002 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 15      100      100      100    0.703   1.469   2.349   2.743   0.313   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
 21      100      100       10    0.329   0.616   3.697   5.386   0.513   0.000   0.001  54.000   0.540   filter_k10to100_m50_v100to100                                              
 10     1000     1000       11    3.266   4.908   5.884  13.059   0.816   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 38     1000      100        1    0.454   0.827   1.458   4.228   0.240   0.005   0.008  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 17     1000     1000        1    6.051   9.626  15.051 127.470   4.373   0.006   0.010 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 24     1000     1000        1    2.358   3.760   4.766  49.273   1.627   0.002   0.004 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 18     1000     1000        1    2.994   4.416   5.819   7.433   0.595   0.003   0.004 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
  4      100      100        1    0.263   0.460   1.100   1.210   0.138   0.003   0.005  56.000   0.560   filter_k1to100_m50_v100to100                                               
 31     1000     1000        1    3.148   4.581   5.446  10.006   0.703   0.003   0.005  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 25      100      100        1    0.187   0.454   0.822   0.894   0.122   0.002   0.005  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  2     1000     1000        1    2.542   3.890   5.220   7.266   0.560   0.003   0.004  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 13      100      100        1    0.151   0.330   1.527   1.890   0.191   0.002   0.003  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 33     1000     1000        1    1.135   2.325   2.785   4.797   0.395   0.001   0.002  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 14      100        1        1    0.062   0.077   0.178   0.228   0.019   0.062   0.077  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  9     1000        1        1    0.051   0.095   0.200   9.032   0.285   0.051   0.095  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 30      100        1        1    0.008   0.013   0.217   0.330   0.032   0.008   0.013  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
  5     1000        1        1    0.045   0.108   0.259   4.059   0.139   0.045   0.108  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 36      100        1      100    0.379   0.734   3.568   4.689   0.463   0.004   0.007 100.000 100.000   match_k100to100_m100_v100to100                                             
  1     1000        1      100    0.389   0.763   1.158   3.336   0.215   0.004   0.008 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  3      100        1       10    0.048   0.121   0.301   0.373   0.041   0.005   0.012  54.000  54.000   match_k10to100_m50_v100to100                                               
 32     1000        1       11    0.045   0.074   0.124   0.295   0.019   0.004   0.007  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 20      100        1        1    0.008   0.023   0.184   0.200   0.025   0.008   0.023  56.000  56.000   match_k1to100_m50_v100to100                                                
 22     1000        1        1    0.007   0.012   0.019   0.211   0.008   0.007   0.012  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 11      100        1        1    0.006   0.008   0.019   0.021   0.002   0.006   0.008  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
  8     1000        1        1    0.005   0.011   0.018   0.272   0.009   0.005   0.011  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  7      100        1        1    0.005   0.006   0.020   0.022   0.002   0.005   0.006  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 37     1000        1        1    0.002   0.004   0.005   0.019   0.001   0.002   0.004  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 26      100        1        1    0.002   0.004   0.010   0.012   0.001   0.002   0.004  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 16     1000        1        1    0.004   0.011   0.018   0.158   0.007   0.004   0.011  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 19      100        1        1    0.005   0.019   0.032   0.035   0.007   0.005   0.019  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 29     1000        1        1    0.006   0.021   0.049   0.108   0.009   0.006   0.021  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 12      100        1        1    0.017   0.034   0.075   0.097   0.012   0.017   0.034  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 27     1000        1        1    0.014   0.035   0.140   1.692   0.059   0.014   0.035  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 28      100        1        1    0.008   0.019   0.026   0.029   0.004   0.008   0.019  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  0     1000        1        1    0.004   0.009   0.055   1.087   0.044   0.004   0.009  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 23      100        1        1    0.006   0.012   0.184   0.284   0.028   0.006   0.012  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 35     1000        1        1    0.004   0.006   0.009   0.200   0.006   0.004   0.006  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
