resultsFileName : 2016-05-18_linux_v2.1.0_node-v4.2.4_v100to1k_1463612227899.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 35     1000     1000        1    0.057   0.068   0.081   0.497   0.015   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k1d_v1kto1k                                 
 31     1000     1000        1    0.134   0.154   0.167   0.924   0.032   0.000   0.000 100.000   0.100   filterJsArray_k1to100_fixedKey_k4d_v1kto1k                                 
 12      100      100      100    0.689   0.795   0.819   0.825   0.054   0.000   0.000 100.000   1.000   filter_k100to100_m100_v100to100                                            
  1      100      100       10    0.334   0.431   1.460   2.047   0.175   0.000   0.000  54.000   0.540   filter_k10to100_m50_v100to100                                              
  5     1000     1000       11    3.212   4.306   5.035  10.872   0.618   0.000   0.000  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 16     1000      100        1    0.484   0.730   0.880   5.263   0.214   0.005   0.007  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 13     1000     1000        1    5.155   7.511   8.526  14.364   1.259   0.005   0.008 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 23     1000     1000        1    2.212   2.410   4.673  75.291   2.400   0.002   0.002 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 26     1000     1000        1    3.027   3.167   4.260   7.438   0.298   0.003   0.003 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
  7      100      100        1    0.290   0.378   0.427   0.439   0.045   0.003   0.004  56.000   0.560   filter_k1to100_m50_v100to100                                               
  0     1000     1000        1    3.190   4.363   5.469  42.241   1.392   0.003   0.004  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 38      100      100        1    0.236   0.266   0.737   0.738   0.078   0.002   0.003  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  2     1000     1000        1    2.318   3.166   3.406   5.132   0.260   0.002   0.003  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 27      100      100        1    0.126   0.140   0.162   0.172   0.007   0.001   0.001  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 21     1000     1000        1    1.570   1.674   1.787   3.475   0.084   0.002   0.002  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 15      100        1        1    0.074   0.098   0.292   0.317   0.030   0.074   0.098  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 34     1000        1        1    0.068   0.083   0.110   9.334   0.293   0.068   0.083  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 17      100        1        1    0.064   0.089   0.505   0.675   0.063   0.064   0.089  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 30     1000        1        1    0.059   0.074   0.097   0.618   0.026   0.059   0.074  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 36      100        1      100    0.376   0.491   0.894   0.948   0.079   0.004   0.005 100.000 100.000   match_k100to100_m100_v100to100                                             
 24     1000        1      100    0.358   0.385   0.398   7.572   0.298   0.004   0.004 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 29      100        1       10    0.040   0.049   0.061   0.064   0.005   0.004   0.005  54.000  54.000   match_k10to100_m50_v100to100                                               
  6     1000        1       11    0.043   0.050   0.056   0.070   0.006   0.004   0.005  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 25      100        1        1    0.005   0.009   0.023   0.027   0.003   0.005   0.009  56.000  56.000   match_k1to100_m50_v100to100                                                
 14     1000        1        1    0.009   0.012   0.022   0.561   0.020   0.009   0.012  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
  3      100        1        1    0.004   0.008   0.220   0.291   0.030   0.004   0.008  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
  8     1000        1        1    0.004   0.005   0.007   0.020   0.001   0.004   0.005  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 20      100        1        1    0.004   0.006   0.023   0.027   0.003   0.004   0.006  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 10     1000        1        1    0.004   0.004   0.006   0.010   0.000   0.004   0.004  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 28      100        1        1    0.002   0.006   0.015   0.016   0.002   0.002   0.006  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
  9     1000        1        1    0.004   0.004   0.006   0.016   0.001   0.004   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 33      100        1        1    0.006   0.032   0.049   0.054   0.010   0.006   0.032  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  4     1000        1        1    0.005   0.006   0.009   0.495   0.016   0.005   0.006  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 22      100        1        1    0.014   0.028   0.048   0.052   0.009   0.014   0.028  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 37     1000        1        1    0.018   0.030   0.042   0.544   0.024   0.018   0.030  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 18      100        1        1    0.006   0.012   0.196   0.304   0.030   0.006   0.012  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
